Date,Open,High,Low,Close,Volume,Adj Close
2023-01-01,2.663,2.686,2.65,2.684,43495.94,2.684
2023-01-02,2.684,2.739,2.664,2.702,105611.51,2.702
2023-01-03,2.7,2.737,2.671,2.703,82078.32,2.703
2023-01-04,2.701,2.782,2.693,2.751,134542.58,2.751
2023-01-05,2.75,2.766,2.728,2.746,57268.38,2.746
2023-01-06,2.746,2.798,2.714,2.781,101210.96,2.781
2023-01-07,2.777,2.783,2.763,2.774,38104.63,2.774
2023-01-08,2.775,2.829,2.765,2.82,59269.95,2.82
2023-01-09,2.82,2.883,2.808,2.831,165516.45,2.831
2023-01-10,2.83,2.91,2.818,2.893,92288.77,2.893
2023-01-11,2.898,3.039,2.864,3.029,140345.57,3.029
2023-01-12,3.025,3.329,3.012,3.258,407035.87,3.258
2023-01-13,3.258,3.571,3.226,3.56,276034.63,3.56
2023-01-14,3.557,3.991,3.549,3.841,389991.77,3.841
2023-01-15,3.85,3.874,3.722,3.82,119042.62,3.82
2023-01-16,3.82,3.994,3.729,3.91,182024.49,3.91
2023-01-17,3.908,4.034,3.81,3.886,131821.85,3.886
2023-01-18,3.889,4.038,3.663,3.751,205272.14,3.751
2023-01-19,3.746,3.9,3.728,3.87,93015.81,3.87
2023-01-20,3.874,4.378,3.8,4.351,147412.37,4.351
2023-01-21,4.349,4.565,4.277,4.372,197578.32,4.372
2023-01-22,4.372,4.478,4.218,4.361,113874.26,4.361
2023-01-23,4.359,4.5,4.295,4.445,106769.88,4.445
2023-01-24,4.425,4.503,4.284,4.324,107812.43,4.324
2023-01-25,4.327,4.697,4.242,4.476,148976.91,4.476
2023-01-26,4.468,4.542,4.4,4.439,93627.72,4.439
2023-01-27,4.445,4.595,4.297,4.451,97211.19,4.451
2023-01-28,4.46,4.493,4.402,4.437,42444.26,4.437
2023-01-29,4.438,4.739,4.414,4.675,113649.34,4.675
2023-01-30,4.663,4.685,4.277,4.38,136998.48,4.38
2023-01-31,4.383,4.527,4.351,4.469,82139.69,4.469
2023-02-01,4.469,4.685,4.349,4.65,135923.18,4.65
2023-02-02,4.656,4.845,4.532,4.576,117542.02,4.576
2023-02-03,4.578,4.649,4.5,4.562,82314.76,4.562
2023-02-04,4.555,4.608,4.508,4.534,47456.16,4.534
2023-02-05,4.532,4.559,4.331,4.391,93236.2,4.391
2023-02-06,4.397,4.468,4.3,4.326,85443.18,4.326
2023-02-07,4.335,4.531,4.323,4.49,92262.52,4.49
2023-02-08,4.491,4.545,4.311,4.388,85968.56,4.388
2023-02-09,4.388,4.403,3.987,4.016,155378.77,4.016
2023-02-10,4.02,4.07,3.9,3.966,101640.77,3.966
2023-02-11,3.964,4.037,3.956,4.031,56149.52,4.031
2023-02-12,4.031,4.114,3.959,4.009,60848.34,4.009
2023-02-13,3.997,4.042,3.867,4.007,93380.61,4.007
2023-02-14,4.007,4.173,3.905,4.137,96245.14,4.137
2023-02-15,4.128,4.842,4.085,4.826,161119.79,4.826
2023-02-16,4.828,5.148,4.55,4.56,239689.55,4.56
2023-02-17,4.55,5.05,4.5,4.902,194026.38,4.902
2023-02-18,4.9,4.998,4.851,4.922,61048.22,4.922
2023-02-19,4.922,5.098,4.769,4.796,124032.57,4.796
2023-02-20,4.796,5.08,4.646,4.978,120357.55,4.978
2023-02-21,4.972,5.13,4.75,4.837,145630.29,4.837
2023-02-22,4.84,4.85,4.557,4.76,167001.77,4.76
2023-02-23,4.756,4.893,4.57,4.665,156611.7,4.665
2023-02-24,4.665,4.731,4.31,4.415,168344.68,4.415
2023-02-25,4.411,4.423,4.279,4.415,86513.57,4.415
2023-02-26,4.414,4.58,4.37,4.536,85413.56,4.536
2023-02-27,4.536,4.647,4.396,4.511,116808.85,4.511
2023-02-28,4.508,4.54,4.35,4.4,67481.73,4.4
2023-03-01,4.395,4.677,4.363,4.55,91969.05,4.55
2023-03-02,4.548,4.6,4.423,4.495,56932.16,4.495
2023-03-03,4.503,4.504,4.0,4.138,157304.91,4.138
2023-03-04,4.138,4.159,4.07,4.129,40909.8,4.129
2023-03-05,4.133,4.226,4.078,4.164,42138.54,4.164
2023-03-06,4.163,4.212,4.1,4.143,42366.33,4.143
2023-03-07,4.147,4.193,4.005,4.089,69598.48,4.089
2023-03-08,4.093,4.121,3.884,3.922,87372.07,3.922
2023-03-09,3.922,3.965,3.385,3.498,213211.0,3.498
2023-03-10,3.491,3.491,3.25,3.42,256436.62,3.42
2023-03-11,3.42,3.58,3.3,3.507,159865.75,3.507
2023-03-12,3.507,4.0,3.455,3.966,151349.13,3.966
2023-03-13,3.968,4.744,3.903,4.624,371217.02,4.624
2023-03-14,4.624,5.395,4.56,4.803,449412.11,4.803
2023-03-15,4.803,4.968,4.511,4.657,225689.55,4.657
2023-03-16,4.645,4.94,4.601,4.895,146035.59,4.895
2023-03-17,4.899,5.83,4.85,5.689,336604.24,5.689
2023-03-18,5.708,5.818,5.385,5.518,154970.97,5.518
2023-03-19,5.537,6.069,5.507,5.906,167305.26,5.906
2023-03-20,5.908,6.08,5.606,5.816,180613.16,5.816
2023-03-21,5.817,6.077,5.68,5.959,119565.31,5.959
2023-03-22,5.948,6.236,5.42,5.637,236116.35,5.637
2023-03-23,5.643,6.175,5.6,6.001,154537.26,6.001
2023-03-24,6.009,6.036,5.554,5.705,117415.32,5.705
2023-03-25,5.7,5.82,5.615,5.708,85609.51,5.708
2023-03-26,5.712,5.978,5.69,5.883,90388.69,5.883
2023-03-27,5.883,5.909,5.361,5.592,152482.07,5.592
2023-03-28,5.592,5.725,5.41,5.652,124023.0,5.652
2023-03-29,5.644,6.132,5.641,6.013,143780.03,6.013
2023-03-30,6.012,6.324,5.783,5.918,157464.39,5.918
2023-03-31,5.915,6.133,5.733,6.058,130541.58,6.058
2023-04-01,6.058,6.186,5.97,6.044,56939.89,6.044
2023-04-02,6.044,6.085,5.847,5.946,66546.28,5.946
2023-04-03,5.946,6.07,5.6,5.819,147792.35,5.819
2023-04-04,5.814,6.04,5.763,5.943,81995.65,5.943
2023-04-05,5.945,6.17,5.8,5.951,127934.93,5.951
2023-04-06,5.953,5.966,5.787,5.891,75208.81,5.891
2023-04-07,5.891,5.92,5.81,5.851,44501.73,5.851
2023-04-08,5.851,5.943,5.825,5.859,41010.72,5.859
2023-04-09,5.86,6.073,5.813,5.988,77479.63,5.988
2023-04-10,5.988,6.553,5.945,6.494,119681.72,6.494
2023-04-11,6.504,6.84,6.436,6.71,124944.23,6.71
